Date,Country,City,Pollutant,count,min,max,median,variance
26/12/2022,AU,Adelaide,co,24,1.3,2.3,1.9,0.93
26/12/2022,AU,Adelaide,no2,85,0.5,14.7,2.3,56.13
26/12/2022,AU,Adelaide,o3,71,3.7,21.6,11.4,226.71
26/12/2022,AU,Adelaide,pm10,120,5,59,12,628.12
26/12/2022,AU,Adelaide,pm2.5,84,4,53,17,1280.84
26/12/2022,AU,Adelaide,so2,14,0.6,1.1,0.6,0.66
26/12/2022,AU,Brisbane,no2,84,0.5,3.7,1,6.79
26/12/2022,AU,Brisbane,o3,70,1.7,7.4,5.7,20.62
26/12/2022,AU,Brisbane,pm10,216,1,19,9,114.79
26/12/2022,AU,Brisbane,pm2.5,211,1,48,14,427.56
26/12/2022,AU,Brisbane,so2,10,0.6,1.1,0.6,0.25
26/12/2022,AU,Canberra,co,20,0.3,0.6,0.5,0.08
26/12/2022,AU,Canberra,no2,25,0.5,2.8,1.4,3.72
26/12/2022,AU,Canberra,o3,69,0.9,18.7,11.4,251.77
26/12/2022,AU,Canberra,pm10,71,1,27,10,239.59
26/12/2022,AU,Canberra,pm2.5,71,7,68,32,2229.69
26/12/2022,AU,Darwin,co,66,1.3,5.2,4.3,24.3
26/12/2022,AU,Darwin,no2,71,0.1,3.4,0.5,4.11
26/12/2022,AU,Darwin,o3,69,1.2,6.6,4.5,18.19
26/12/2022,AU,Darwin,pm10,70,1,18,6,109.14
26/12/2022,AU,Darwin,pm2.5,63,1,25,9,353.94
26/12/2022,AU,Darwin,so2,64,0.1,0.8,0.1,0.95
26/12/2022,AU,Hobart,pm10,70,3,16,7,45.65
26/12/2022,AU,Hobart,pm2.5,47,5,21,9,115.74
26/12/2022,AU,Launceston,pm10,131,2,35,5,97.26
26/12/2022,AU,Launceston,pm2.5,85,5,17,9,132.57
26/12/2022,AU,Melbourne,co,92,1.2,3.7,1.7,2.73
26/12/2022,AU,Melbourne,no2,91,1.9,11.2,4.7,30.9
26/12/2022,AU,Melbourne,o3,92,8,36.8,20,598.67
26/12/2022,AU,Melbourne,pm10,120,3,41,20,466.05
26/12/2022,AU,Melbourne,pm2.5,167,10,68,38,1827.67
26/12/2022,AU,Melbourne,so2,59,0.1,1,0.3,0.58
26/12/2022,AU,Newcastle,no2,73,1,11.2,2.8,65.51
26/12/2022,AU,Newcastle,pm10,141,1,50,15,714.81
26/12/2022,AU,Newcastle,pm2.5,129,1,56,19,1136.22
26/12/2022,AU,Newcastle,so2,26,1.5,21.5,1.5,271.68
26/12/2022,AU,Perth,no2,8,1.2,2.3,1.2,2.59
26/12/2022,AU,Perth,o3,66,3,28,17,308.4
26/12/2022,AU,Perth,pm10,91,3,14,6,67.24
26/12/2022,AU,Perth,pm2.5,92,2,18,7,196.64
26/12/2022,AU,Sydney,co,12,1.2,3.4,2.3,6.6
26/12/2022,AU,Sydney,no2,93,1,13.9,3.8,61.61
26/12/2022,AU,Sydney,o3,137,0.8,39.2,15.2,594.27
26/12/2022,AU,Sydney,pm10,137,4,32,12,235.88
26/12/2022,AU,Sydney,pm2.5,132,1,46,17,1430.05
26/12/2022,AU,Sydney,so2,32,1.5,12.9,2.9,124.26
26/12/2022,AU,Wollongong,co,18,1.2,5.6,2.3,17.4
26/12/2022,AU,Wollongong,no2,30,1,14.9,3.8,141.1
26/12/2022,AU,Wollongong,o3,46,0.8,29.6,13.6,604.39
26/12/2022,AU,Wollongong,pm10,48,3,45,17,661.17
26/12/2022,AU,Wollongong,pm2.5,46,2,79,34,3812.22
26/12/2022,AU,Wollongong,so2,7,1.5,18.6,2.9,418.61
27/12/2022,AU,Adelaide,co,23,1.8,2.4,2.1,0.35
27/12/2022,AU,Adelaide,no2,84,0.5,11.5,1.4,56.8
27/12/2022,AU,Adelaide,o3,72,8.6,19.1,14.7,67.23
27/12/2022,AU,Adelaide,pm10,120,2,89,11,1866.38
27/12/2022,AU,Adelaide,pm2.5,76,1,50,13,1368.42
27/12/2022,AU,Adelaide,so2,10,0.6,1.1,0.6,0.25
27/12/2022,AU,Brisbane,no2,96,0.5,4.6,1.4,7.62
27/12/2022,AU,Brisbane,o3,72,2.1,7.4,5.3,21.14
27/12/2022,AU,Brisbane,pm10,214,1,30,12,196.38
27/12/2022,AU,Brisbane,pm2.5,210,1,35,19,481.84
27/12/2022,AU,Brisbane,so2,14,0.6,8.2,1.1,43.75
27/12/2022,AU,Canberra,co,12,0.1,0.5,0.3,0.17
27/12/2022,AU,Canberra,no2,21,0.5,2.8,1.9,6.3
27/12/2022,AU,Canberra,o3,69,0.5,20.8,11.8,316.05
27/12/2022,AU,Canberra,pm10,69,1,21,8,227.68
27/12/2022,AU,Canberra,pm2.5,56,2,54,22,1890.91
27/12/2022,AU,Darwin,co,69,1.3,5.4,4.2,26.77
27/12/2022,AU,Darwin,no2,69,0.1,2.2,0.4,2.67
27/12/2022,AU,Darwin,o3,71,0.8,7.4,4.2,14.52
27/12/2022,AU,Darwin,pm10,71,1,11,5,75.61
27/12/2022,AU,Darwin,pm2.5,53,1,14,8,141.6
27/12/2022,AU,Darwin,so2,63,0.1,0.9,0.1,0.9
27/12/2022,AU,Hobart,pm10,70,4,15,7,48.13
27/12/2022,AU,Hobart,pm2.5,55,5,38,13,315.51
27/12/2022,AU,Launceston,pm10,120,4,20,7,40.67
27/12/2022,AU,Launceston,pm2.5,92,9,25,13,124.05
27/12/2022,AU,Melbourne,co,89,1,3.7,2,3.89
27/12/2022,AU,Melbourne,no2,87,1.9,11.2,4.7,43.4
27/12/2022,AU,Melbourne,o3,92,4,42.4,29.6,1736.75
27/12/2022,AU,Melbourne,pm10,118,3,31,15,346.66
27/12/2022,AU,Melbourne,pm2.5,167,8,70,35,1966.41
27/12/2022,AU,Melbourne,so2,37,0.1,0.8,0.4,0.36
27/12/2022,AU,Newcastle,no2,53,1,8.4,2.8,47.06
27/12/2022,AU,Newcastle,pm10,141,2,60,13,739.9
27/12/2022,AU,Newcastle,pm2.5,127,1,68,13,1446.45
