Date,City,Highest AQI,Rounded AQI
2022-12-26,Adelaide,22.44,22
2022-12-26,Brisbane,18.48,18
2022-12-26,Canberra,42.24,42
2022-12-26,Darwin,23.65,24
2022-12-26,Hobart,11.88,12
2022-12-26,Launceston,11.88,12
2022-12-26,Melbourne,50.16,50
2022-12-26,Newcastle,25.08,25
2022-12-26,Perth,9.24,9
2022-12-26,Sydney,22.44,22
2022-12-26,Wollongong,44.88,45
2022-12-27,Wollongong,21.12,21
2022-12-27,Sydney,17.16,17
2022-12-27,Perth,10.56,11
2022-12-27,Melbourne,46.2,46
2022-12-27,Launceston,17.16,17
2022-12-27,Newcastle,17.16,17
2022-12-27,Darwin,23.1,23
2022-12-27,Canberra,29.040000000000003,29
2022-12-27,Brisbane,25.08,25
2022-12-27,Adelaide,17.16,17
2022-12-27,Hobart,17.16,17
2022-12-28,Wollongong,27.72,28
2022-12-28,Sydney,22.44,22
2022-12-28,Perth,9.35820895522388,9
2022-12-28,Newcastle,26.4,26
2022-12-28,Melbourne,33.0,33
2022-12-28,Launceston,11.88,12
2022-12-28,Darwin,23.1,23
2022-12-28,Canberra,33.0,33
2022-12-28,Brisbane,26.4,26
2022-12-28,Adelaide,33.0,33
2022-12-28,Hobart,11.88,12
2022-12-29,Melbourne,34.32,34
2022-12-29,Wollongong,29.040000000000003,29
2022-12-29,Sydney,23.76,24
2022-12-29,Perth,10.835820895522389,11
2022-12-29,Launceston,11.88,12
2022-12-29,Newcastle,25.08,25
2022-12-29,Darwin,23.1,23
2022-12-29,Adelaide,27.72,28
2022-12-29,Brisbane,35.64,36
2022-12-29,Hobart,6.6000000000000005,7
2022-12-29,Canberra,25.08,25
2022-12-30,Newcastle,27.72,28
2022-12-30,Wollongong,15.84,16
2022-12-30,Sydney,21.12,21
2022-12-30,Perth,11.88,12
2022-12-30,Melbourne,46.2,46
2022-12-30,Launceston,6.6000000000000005,7
2022-12-30,Hobart,11.88,12
2022-12-30,Darwin,23.65,24
2022-12-30,Canberra,13.2,13
2022-12-30,Brisbane,18.48,18
2022-12-30,Adelaide,27.72,28
2022-12-31,Sydney,19.8,20
2022-12-31,Perth,10.56,11
2022-12-31,Newcastle,23.76,24
2022-12-31,Melbourne,47.52,48
2022-12-31,Wollongong,22.44,22
2022-12-31,Hobart,11.88,12
2022-12-31,Darwin,29.040000000000003,29
2022-12-31,Canberra,51.7,52
2022-12-31,Brisbane,39.6,40
2022-12-31,Adelaide,33.0,33
2022-12-31,Launceston,11.88,12
2023-01-01,Wollongong,26.4,26
2023-01-01,Sydney,25.08,25
2023-01-01,Perth,8.865671641791044,9
2023-01-01,Newcastle,23.76,24
2023-01-01,Melbourne,46.2,46
2023-01-01,Launceston,17.16,17
2023-01-01,Darwin,38.28,38
2023-01-01,Canberra,53.900000000000006,54
2023-01-01,Brisbane,34.32,34
2023-01-01,Hobart,11.88,12
2023-01-02,Newcastle,27.72,28
2023-01-02,Wollongong,23.76,24
2023-01-02,Sydney,21.12,21
2023-01-02,Perth,9.850746268656716,10
2023-01-02,Melbourne,34.32,34
2023-01-02,Darwin,44.88,45
2023-01-02,Hobart,17.16,17
2023-01-02,Launceston,27.72,28
2023-01-02,Canberra,56.1,56
2023-01-02,Brisbane,33.0,33
2023-01-03,Wollongong,27.72,28
2023-01-03,Sydney,27.72,28
2023-01-03,Perth,8.865671641791044,9
2023-01-03,Newcastle,30.360000000000003,30
2023-01-03,Melbourne,23.76,24
2023-01-03,Launceston,6.6000000000000005,7
2023-01-03,Hobart,11.88,12
2023-01-03,Darwin,33.0,33
2023-01-03,Canberra,53.900000000000006,54
2023-01-03,Brisbane,38.28,38
2023-01-03,Adelaide,22.44,22
2023-01-04,Wollongong,22.44,22
2023-01-04,Sydney,18.48,18
2023-01-04,Perth,9.850746268656716,10
2023-01-04,Newcastle,30.360000000000003,30
2023-01-04,Melbourne,27.72,28
2023-01-04,Launceston,6.6000000000000005,7
2023-01-04,Hobart,11.88,12
2023-01-04,Darwin,23.65,24
2023-01-04,Canberra,15.84,16
2023-01-04,Brisbane,39.6,40
2023-01-04,Adelaide,17.16,17
2023-01-05,Wollongong,23.76,24
2023-01-05,Sydney,21.12,21
2023-01-05,Perth,9.850746268656716,10
2023-01-05,Newcastle,22.44,22
2023-01-05,Melbourne,26.4,26
2023-01-05,Launceston,6.6000000000000005,7
2023-01-05,Hobart,11.88,12
2023-01-05,Darwin,23.65,24
2023-01-05,Canberra,58.30000000000001,58
2023-01-05,Brisbane,33.0,33
2023-01-05,Adelaide,14.52,15
