Date,Country,City,Pollutant,count,min,max,median,variance,AQI,Rounded AQI
2022-12-26,AU,Adelaide,co,24,1.3,2.3,1.9,0.93,10.45,10
2022-12-26,AU,Adelaide,no2,85,0.5,14.7,2.3,56.13,0.9487499999999999,1
2022-12-26,AU,Adelaide,o3,71,3.7,21.6,11.4,226.71,5.614925373134328,6
2022-12-26,AU,Adelaide,pm10,120,5.0,59.0,12.0,628.12,7.92,8
2022-12-26,AU,Adelaide,pm2.5,84,4.0,53.0,17.0,1280.84,22.44,22
2022-12-26,AU,Adelaide,so2,14,0.6,1.1,0.6,0.66,0.1488721804511278,0
2022-12-26,AU,Brisbane,no2,84,0.5,3.7,1.0,6.79,0.4125,0
2022-12-26,AU,Brisbane,o3,70,1.7,7.4,5.7,20.62,2.807462686567164,3
2022-12-26,AU,Brisbane,pm10,216,1.0,19.0,9.0,114.79,5.94,6
2022-12-26,AU,Brisbane,pm2.5,211,1.0,48.0,14.0,427.56,18.48,18
2022-12-26,AU,Brisbane,so2,10,0.6,1.1,0.6,0.25,0.1488721804511278,0
2022-12-26,AU,Canberra,co,20,0.3,0.6,0.5,0.08,2.75,3
2022-12-26,AU,Canberra,no2,25,0.5,2.8,1.4,3.72,0.5774999999999999,1
2022-12-26,AU,Canberra,o3,69,0.9,18.7,11.4,251.77,5.614925373134328,6
2022-12-26,AU,Canberra,pm10,71,1.0,27.0,10.0,239.59,6.6000000000000005,7
2022-12-26,AU,Canberra,pm2.5,71,7.0,68.0,32.0,2229.69,42.24,42
2022-12-26,AU,Darwin,co,66,1.3,5.2,4.3,24.3,23.65,24
2022-12-26,AU,Darwin,no2,71,0.1,3.4,0.5,4.11,0.20625,0
2022-12-26,AU,Darwin,o3,69,1.2,6.6,4.5,18.19,2.216417910447761,2
2022-12-26,AU,Darwin,pm10,70,1.0,18.0,6.0,109.14,3.96,4
2022-12-26,AU,Darwin,pm2.5,63,1.0,25.0,9.0,353.94,11.88,12
2022-12-26,AU,Darwin,so2,64,0.1,0.8,0.1,0.95,0.02481203007518797,0
2022-12-26,AU,Hobart,pm10,70,3.0,16.0,7.0,45.65,4.62,5
2022-12-26,AU,Hobart,pm2.5,47,5.0,21.0,9.0,115.74,11.88,12
2022-12-26,AU,Launceston,pm10,131,2.0,35.0,5.0,97.26,3.3000000000000003,3
2022-12-26,AU,Launceston,pm2.5,85,5.0,17.0,9.0,132.57,11.88,12
2022-12-26,AU,Melbourne,co,92,1.2,3.7,1.7,2.73,9.35,9
2022-12-26,AU,Melbourne,no2,91,1.9,11.2,4.7,30.9,1.93875,2
2022-12-26,AU,Melbourne,o3,92,8.0,36.8,20.0,598.67,9.850746268656716,10
2022-12-26,AU,Melbourne,pm10,120,3.0,41.0,20.0,466.05,13.200000000000001,13
2022-12-26,AU,Melbourne,pm2.5,167,10.0,68.0,38.0,1827.67,50.16,50
2022-12-26,AU,Melbourne,so2,59,0.1,1.0,0.3,0.58,0.0744360902255639,0
2022-12-26,AU,Newcastle,no2,73,1.0,11.2,2.8,65.51,1.1549999999999998,1
2022-12-26,AU,Newcastle,pm10,141,1.0,50.0,15.0,714.81,9.9,10
2022-12-26,AU,Newcastle,pm2.5,129,1.0,56.0,19.0,1136.22,25.080000000000002,25
2022-12-26,AU,Newcastle,so2,26,1.5,21.5,1.5,271.68,0.3721804511278195,0
2022-12-26,AU,Perth,no2,8,1.2,2.3,1.2,2.59,0.49499999999999994,0
2022-12-26,AU,Perth,o3,66,3.0,28.0,17.0,308.4,8.373134328358208,8
2022-12-26,AU,Perth,pm10,91,3.0,14.0,6.0,67.24,3.96,4
2022-12-26,AU,Perth,pm2.5,92,2.0,18.0,7.0,196.64,9.24,9
2022-12-26,AU,Sydney,co,12,1.2,3.4,2.3,6.6,12.649999999999999,13
2022-12-26,AU,Sydney,no2,93,1.0,13.9,3.8,61.61,1.5675,2
2022-12-26,AU,Sydney,o3,137,0.8,39.2,15.2,594.27,7.486567164179104,7
2022-12-26,AU,Sydney,pm10,137,4.0,32.0,12.0,235.88,7.92,8
2022-12-26,AU,Sydney,pm2.5,132,1.0,46.0,17.0,1430.05,22.44,22
2022-12-26,AU,Sydney,so2,32,1.5,12.9,2.9,124.26,0.719548872180451,1
2022-12-26,AU,Wollongong,co,18,1.2,5.6,2.3,17.4,12.649999999999999,13
2022-12-26,AU,Wollongong,no2,30,1.0,14.9,3.8,141.1,1.5675,2
2022-12-26,AU,Wollongong,o3,46,0.8,29.6,13.6,604.39,6.698507462686567,7
2022-12-26,AU,Wollongong,pm10,48,3.0,45.0,17.0,661.17,11.22,11
2022-12-26,AU,Wollongong,pm2.5,46,2.0,79.0,34.0,3812.22,44.88,45
2022-12-26,AU,Wollongong,so2,7,1.5,18.6,2.9,418.61,0.719548872180451,1
2022-12-27,AU,Adelaide,co,23,1.8,2.4,2.1,0.35,11.55,12
2022-12-27,AU,Adelaide,no2,84,0.5,11.5,1.4,56.8,0.5774999999999999,1
2022-12-27,AU,Adelaide,o3,72,8.6,19.1,14.7,67.23,7.240298507462686,7
2022-12-27,AU,Adelaide,pm10,120,2.0,89.0,11.0,1866.38,7.260000000000001,7
2022-12-27,AU,Adelaide,pm2.5,76,1.0,50.0,13.0,1368.42,17.16,17
2022-12-27,AU,Adelaide,so2,10,0.6,1.1,0.6,0.25,0.1488721804511278,0
2022-12-27,AU,Brisbane,no2,96,0.5,4.6,1.4,7.62,0.5774999999999999,1
2022-12-27,AU,Brisbane,o3,72,2.1,7.4,5.3,21.14,2.6104477611940298,3
2022-12-27,AU,Brisbane,pm10,214,1.0,30.0,12.0,196.38,7.92,8
2022-12-27,AU,Brisbane,pm2.5,210,1.0,35.0,19.0,481.84,25.080000000000002,25
2022-12-27,AU,Brisbane,so2,14,0.6,8.2,1.1,43.75,0.2729323308270677,0
2022-12-27,AU,Canberra,co,12,0.1,0.5,0.3,0.17,1.65,2
2022-12-27,AU,Canberra,no2,21,0.5,2.8,1.9,6.3,0.78375,1
2022-12-27,AU,Canberra,o3,69,0.5,20.8,11.8,316.05,5.811940298507463,6
2022-12-27,AU,Canberra,pm10,69,1.0,21.0,8.0,227.68,5.28,5
