Date,City,Pollutant,count,variance,min,max
2022-12-26,Adelaide,co,24,0.93,1.3,2.3
2022-12-26,Adelaide,no2,85,56.13,0.5,14.7
2022-12-26,Adelaide,o3,71,226.71,3.7,21.6
2022-12-26,Adelaide,pm10,120,628.12,5.0,59.0
2022-12-26,Adelaide,pm2.5,84,1280.84,4.0,53.0
2022-12-26,Adelaide,so2,14,0.66,0.6,1.1
2022-12-26,Brisbane,no2,84,6.79,0.5,3.7
2022-12-26,Brisbane,o3,70,20.62,1.7,7.4
2022-12-26,Brisbane,so2,10,0.25,0.6,1.1
2022-12-26,Canberra,co,20,0.08,0.3,0.6
2022-12-26,Canberra,no2,25,3.72,0.5,2.8
2022-12-26,Canberra,o3,69,251.77,0.9,18.7
2022-12-26,Canberra,pm10,71,239.59,1.0,27.0
2022-12-26,Darwin,co,66,24.3,1.3,5.2
2022-12-26,Darwin,no2,71,4.11,0.1,3.4
2022-12-26,Darwin,o3,69,18.19,1.2,6.6
2022-12-26,Darwin,pm10,70,109.14,1.0,18.0
2022-12-26,Darwin,pm2.5,63,353.94,1.0,25.0
2022-12-26,Darwin,so2,64,0.95,0.1,0.8
2022-12-26,Hobart,pm10,70,45.65,3.0,16.0
2022-12-26,Hobart,pm2.5,47,115.74,5.0,21.0
2022-12-26,Launceston,pm10,131,97.26,2.0,35.0
2022-12-26,Launceston,pm2.5,85,132.57,5.0,17.0
2022-12-26,Melbourne,co,92,2.73,1.2,3.7
2022-12-26,Melbourne,no2,91,30.9,1.9,11.2
2022-12-26,Melbourne,pm10,120,466.05,3.0,41.0
2022-12-26,Melbourne,so2,59,0.58,0.1,1.0
2022-12-26,Newcastle,no2,73,65.51,1.0,11.2
2022-12-26,Newcastle,pm10,141,714.81,1.0,50.0
2022-12-26,Newcastle,pm2.5,129,1136.22,1.0,56.0
2022-12-26,Newcastle,so2,26,271.68,1.5,21.5
2022-12-26,Perth,no2,8,2.59,1.2,2.3
2022-12-26,Perth,o3,66,308.4,3.0,28.0
2022-12-26,Perth,pm10,91,67.24,3.0,14.0
2022-12-26,Perth,pm2.5,92,196.64,2.0,18.0
2022-12-26,Sydney,co,12,6.6,1.2,3.4
2022-12-26,Sydney,no2,93,61.61,1.0,13.9
2022-12-26,Sydney,o3,137,594.27,0.8,39.2
2022-12-26,Sydney,pm10,137,235.88,4.0,32.0
2022-12-26,Sydney,pm2.5,132,1430.05,1.0,46.0
2022-12-26,Sydney,so2,32,124.26,1.5,12.9
2022-12-26,Wollongong,co,18,17.4,1.2,5.6
2022-12-26,Wollongong,no2,30,141.1,1.0,14.9
2022-12-26,Wollongong,o3,46,604.39,0.8,29.6
2022-12-26,Wollongong,pm10,48,661.17,3.0,45.0
2022-12-26,Wollongong,so2,7,418.61,1.5,18.6
2022-12-27,Adelaide,co,23,0.35,1.8,2.4
2022-12-27,Adelaide,no2,84,56.8,0.5,11.5
2022-12-27,Adelaide,pm2.5,76,1368.42,1.0,50.0
2022-12-27,Adelaide,so2,10,0.25,0.6,1.1
2022-12-27,Brisbane,no2,96,7.62,0.5,4.6
2022-12-27,Brisbane,o3,72,21.14,2.1,7.4
2022-12-27,Brisbane,so2,14,43.75,0.6,8.2
2022-12-27,Canberra,co,12,0.17,0.1,0.5
2022-12-27,Canberra,no2,21,6.3,0.5,2.8
2022-12-27,Canberra,o3,69,316.05,0.5,20.8
2022-12-27,Canberra,pm10,69,227.68,1.0,21.0
2022-12-27,Darwin,co,69,26.77,1.3,5.4
2022-12-27,Darwin,no2,69,2.67,0.1,2.2
2022-12-27,Darwin,o3,71,14.52,0.8,7.4
2022-12-27,Darwin,pm10,71,75.61,1.0,11.0
2022-12-27,Darwin,pm2.5,53,141.6,1.0,14.0
2022-12-27,Darwin,so2,63,0.9,0.1,0.9
2022-12-27,Hobart,pm10,70,48.13,4.0,15.0
2022-12-27,Hobart,pm2.5,55,315.51,5.0,38.0
2022-12-27,Launceston,pm10,120,40.67,4.0,20.0
2022-12-27,Melbourne,co,89,3.89,1.0,3.7
2022-12-27,Melbourne,no2,87,43.4,1.9,11.2
2022-12-27,Melbourne,pm10,118,346.66,3.0,31.0
2022-12-27,Melbourne,so2,37,0.36,0.1,0.8
2022-12-27,Newcastle,no2,53,47.06,1.0,8.4
2022-12-27,Newcastle,pm10,141,739.9,2.0,60.0
2022-12-27,Newcastle,pm2.5,127,1446.45,1.0,68.0
2022-12-27,Newcastle,so2,36,359.7,1.5,24.3
2022-12-27,Perth,no2,7,12.1,1.2,3.4
2022-12-27,Perth,o3,67,200.25,6.0,25.0
2022-12-27,Perth,pm10,92,162.69,2.0,18.0
2022-12-27,Perth,pm2.5,87,154.58,2.0,18.0
2022-12-27,Sydney,co,3,0.0,1.2,1.2
2022-12-27,Sydney,no2,82,49.78,1.0,9.3
2022-12-27,Sydney,o3,134,343.92,0.8,24.8
2022-12-27,Sydney,pm10,140,203.96,1.0,33.0
2022-12-27,Sydney,pm2.5,136,861.85,1.0,76.0
2022-12-27,Sydney,so2,26,362.73,1.5,22.9
2022-12-27,Wollongong,co,4,3.03,1.2,2.3
2022-12-27,Wollongong,no2,23,121.32,1.0,12.1
2022-12-27,Wollongong,o3,46,395.17,0.8,20.8
2022-12-27,Wollongong,pm10,48,346.7,1.0,27.0
2022-12-27,Wollongong,pm2.5,39,1246.07,1.0,46.0
2022-12-27,Wollongong,so2,4,6.53,1.5,2.9
2022-12-28,Adelaide,co,22,3.08,0.9,2.5
2022-12-28,Adelaide,no2,49,15.97,0.5,6.4
2022-12-28,Adelaide,o3,61,56.36,4.9,13.9
2022-12-28,Adelaide,pm10,120,627.95,6.0,42.0
2022-12-28,Adelaide,pm2.5,96,1450.73,5.0,81.0
2022-12-28,Adelaide,so2,2,0.0,0.6,0.6
2022-12-28,Brisbane,no2,117,23.86,0.5,6.4
2022-12-28,Brisbane,o3,71,30.35,1.3,8.2
2022-12-28,Brisbane,so2,14,41.31,0.6,8.2
2022-12-28,Canberra,co,22,0.2,0.2,0.7
2022-12-28,Canberra,no2,29,39.81,0.5,9.6
2022-12-28,Canberra,o3,69,205.21,1.7,17.5
2022-12-28,Canberra,pm10,71,142.04,2.0,21.0
2022-12-28,Darwin,co,70,28.8,1.2,5.4
2022-12-28,Darwin,no2,70,2.35,0.1,1.7
2022-12-28,Darwin,o3,72,41.74,3.0,10.8
2022-12-28,Darwin,pm10,72,173.73,1.0,19.0
2022-12-28,Darwin,pm2.5,55,375.71,1.0,26.0
2022-12-28,Darwin,so2,62,1.01,0.1,0.9
2022-12-28,Hobart,pm10,70,175.41,1.0,21.0
2022-12-28,Hobart,pm2.5,45,151.43,5.0,21.0
2022-12-28,Launceston,pm10,118,94.73,1.0,21.0
2022-12-28,Launceston,pm2.5,81,358.09,5.0,34.0
2022-12-28,Melbourne,co,92,2.23,0.7,3.3
2022-12-28,Melbourne,no2,85,53.66,1.9,13.0
2022-12-28,Melbourne,pm10,117,660.45,3.0,42.0
2022-12-28,Melbourne,pm2.5,164,936.9,2.0,51.0
2022-12-28,Melbourne,so2,4,0.1,0.3,0.5
2022-12-28,Newcastle,no2,68,79.85,1.0,11.2
2022-12-28,Newcastle,pm2.5,128,1479.66,1.0,55.0
2022-12-28,Newcastle,so2,27,58.96,1.5,12.9
2022-12-28,Perth,no2,11,26.84,1.2,5.6
2022-12-28,Perth,pm10,91,103.77,5.0,19.0
2022-12-28,Perth,pm2.5,85,189.68,2.0,18.0
2022-12-28,Sydney,co,9,3.03,1.2,2.3
2022-12-28,Sydney,no2,89,40.67,1.0,8.4
2022-12-28,Sydney,o3,134,380.52,3.2,32.8
2022-12-28,Sydney,pm10,144,278.13,2.0,28.0
2022-12-28,Sydney,pm2.5,143,913.37,1.0,52.0
2022-12-28,Sydney,so2,38,98.61,1.5,17.2
2022-12-28,Wollongong,co,7,2.88,1.2,2.3
2022-12-28,Wollongong,no2,22,30.71,1.0,7.5
2022-12-28,Wollongong,o3,43,362.69,5.6,26.4
2022-12-28,Wollongong,pm10,48,717.0,2.0,34.0
2022-12-28,Wollongong,so2,5,3.92,1.5,2.9
2022-12-29,Adelaide,co,22,0.7,0.9,1.7
2022-12-29,Adelaide,no2,60,6.15,0.5,4.2
2022-12-29,Adelaide,o3,67,22.15,3.7,9.0
