City,Pollutant,RF_R2,RF_MAE,RF_RMSE
Adelaide,pm10,0.35506565934065937,2.206446280991736,2.7857731837687285
Brisbane,pm10,0.5360565030364373,1.7206896551724138,2.0881323118337445
Canberra,pm10,0.605903091127284,1.763934426229508,2.3391910469430153
Darwin,pm10,0.5180721575970555,2.1202830188679247,3.1674686339677955
Hobart,pm10,0.5367755751267861,1.2799450450450451,1.7142490290163455
Launceston,pm10,0.5971613386711894,1.2301333333333333,1.6503227967077634
Melbourne,pm10,0.1912844654262703,2.596603773584905,3.415150484266935
Newcastle,pm10,0.3325377993757417,2.7666086956521743,3.654587111634054
Perth,pm10,0.4975801242426473,1.1399441340782124,1.599059954295075
Sydney,pm10,0.47638688373650284,2.1115723270440254,2.7245713989866553
Wollongong,pm10,0.2607469949004848,3.0079279279279283,3.907927263332251
