City,Pollutant,RF_R2,RF_MAE,RF_RMSE
Adelaide,pm2.5,0.41512661161081654,2.414831460674158,3.1982070117313612
Brisbane,pm2.5,-0.2754605925097817,4.002307692307692,5.196492900172044
Canberra,pm2.5,0.4067499185667751,3.0797777777777786,4.023572486678419
Darwin,pm2.5,0.41013582840463936,2.8111267605633805,3.9030711995468894
Hobart,pm2.5,0.40317947415759914,1.7948905109489048,2.4078948615405897
Launceston,pm2.5,0.35732906530089625,2.2115555555555555,2.9871606734303544
Melbourne,pm2.5,0.29315463902580474,2.4494594594594594,3.2687575125230186
Newcastle,pm2.5,0.5213354976583744,2.3398901098901104,3.030309344815266
Perth,pm2.5,0.5813056845213682,1.0401129943502827,1.3982523393578765
Sydney,pm2.5,0.35094026169424397,2.4246564885496187,3.1270869062250206
Wollongong,pm2.5,0.5181708687962026,2.5590625,3.221050714958293
